Region,Time,Value
Alpine,2016,12578
Alpine,2017,12638
Alpine,2018,12730
Ararat,2016,11745
Ararat,2017,11756
Ararat,2018,11795
Ballarat,2016,103500
Ballarat,2017,105422
Ballarat,2018,107325
Banyule,2016,127447
Banyule,2017,129115
Banyule,2018,130237
Bass Coast,2016,33464
Bass Coast,2017,34386
Bass Coast,2018,35327
Baw Baw,2016,49296
Baw Baw,2017,50676
Baw Baw,2018,52015
Bayside,2016,102912
Bayside,2017,104282
Bayside,2018,105718
Benalla,2016,13982
Benalla,2017,13974
Benalla,2018,14024
Boroondara,2016,177276
Boroondara,2017,179677
Boroondara,2018,181289
Brimbank,2016,204190
Brimbank,2017,206997
Brimbank,2018,208714
Buloke,2016,6284
Buloke,2017,6205
Buloke,2018,6184
Campaspe,2016,37595
Campaspe,2017,37597
Campaspe,2018,37592
Cardinia,2016,97573
Cardinia,2017,102403
Cardinia,2018,107120
Casey,2016,312789
Casey,2017,326771
Casey,2018,340419
Central Goldfields,2016,13087
Central Goldfields,2017,13148
Central Goldfields,2018,13209
Colac-Otway,2016,21362
Colac-Otway,2017,21430
Colac-Otway,2018,21503
Corangamite,2016,16243
Corangamite,2017,16210
Corangamite,2018,16140
Darebin,2016,155126
Darebin,2017,158751
Darebin,2018,161609
East Gippsland,2016,45600
East Gippsland,2017,46136
East Gippsland,2018,46818
Frankston,2016,139502
Frankston,2017,140718
Frankston,2018,141845
Gannawarra,2016,10567
Gannawarra,2017,10569
Gannawarra,2018,10547
Glen Eira,2016,148583
Glen Eira,2017,151457
Glen Eira,2018,153858
Glenelg,2016,19759
Glenelg,2017,19692
Glenelg,2018,19665
Golden Plains,2016,22016
Golden Plains,2017,22568
Golden Plains,2018,23120
Greater Bendigo,2016,112267
Greater Bendigo,2017,114091
Greater Bendigo,2018,116045
Greater Dandenong,2016,160222
Greater Dandenong,2017,163518
Greater Dandenong,2018,166094
Greater Geelong,2016,239529
Greater Geelong,2017,245728
Greater Geelong,2018,252217
Greater Shepparton,2016,65072
