Suburb,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt
Abbotsford,2,h,1480000,S,3/12/16,3,3067,2,1,1,202,,
Abbotsford,2,h,1035000,S,4/2/16,3,3067,2,1,0,156,79,1900
Abbotsford,3,h,1465000,SP,4/3/17,3,3067,3,2,0,134,150,1900
Abbotsford,3,h,850000,PI,4/3/17,3,3067,3,2,1,94,,
Abbotsford,4,h,1600000,VB,4/6/16,3,3067,3,1,2,120,142,2014
Abbotsford,2,h,941000,S,7/5/16,3,3067,2,1,0,181,,
Abbotsford,3,h,1876000,S,7/5/16,3,3067,4,2,0,245,210,1910
Abbotsford,2,h,1636000,S,8/10/16,3,3067,2,1,2,256,107,1890
Abbotsford,1,u,300000,S,8/10/16,3,3067,1,1,1,0,,
Abbotsford,2,h,1097000,S,8/10/16,3,3067,3,1,2,220,75,1900
Abbotsford,2,u,700000,VB,12/11/16,3,3067,2,2,1,0,,
Abbotsford,3,h,1350000,VB,12/11/16,3,3067,3,2,2,214,190,2005
Abbotsford,2,u,750000,S,12/11/16,3,3067,2,2,1,0,94,2009
Abbotsford,2,h,1172500,S,13/8/16,3,3067,2,1,1,195,,
Abbotsford,1,u,441000,SP,14/5/16,3,3067,1,1,1,0,,
Abbotsford,2,h,1310000,S,15/10/16,3,3067,2,1,2,238,97,1890
Abbotsford,3,h,1200000,S,16/7/16,3,3067,3,2,1,113,110,1880
Abbotsford,3,h,1176500,S,16/7/16,3,3067,2,1,1,138,105,1890
Abbotsford,3,h,955000,S,17/9/16,3,3067,3,1,0,183,,
Abbotsford,2,h,890000,S,17/9/16,3,3067,2,1,1,150,73,1985
Abbotsford,4,h,1330000,PI,18/3/17,3,3067,4,2,2,780,135,1900
Abbotsford,3,t,900000,S,18/3/17,3,3067,3,2,2,0,,2010
Abbotsford,3,u,1090000,S,18/3/17,3,3067,3,2,2,4290,27,
Abbotsford,2,u,500000,S,18/6/16,3,3067,2,1,1,0,60,1970
Abbotsford,2,h,1100000,PI,18/6/16,3,3067,2,2,1,124,135,2013
Abbotsford,2,h,1315000,S,19/11/16,3,3067,2,1,0,147,85,1900
Abbotsford,1,u,426000,SP,22/8/16,3,3067,1,1,1,0,,
Abbotsford,3,h,1447500,PI,22/8/16,3,3067,3,3,1,166,174,2012
Abbotsford,1,u,457000,S,22/8/16,3,3067,1,1,1,0,50,
Abbotsford,2,h,1135000,S,22/8/16,3,3067,2,2,2,98,128,1920
Abbotsford,4,h,1542000,S,24/9/16,3,3067,4,3,1,0,,
Abbotsford,3,h,1290000,S,25/2/17,3,3067,3,2,2,147,18,
Abbotsford,3,h,1290000,S,25/2/17,3,3067,3,1,1,168,124,1950
Abbotsford,1,u,470000,S,26/7/16,3,3067,1,1,1,0,50,2013
Abbotsford,2,h,1180000,S,27/11/16,3,3067,2,1,0,162,91,1900
Abbotsford,3,h,1195000,SP,27/11/16,3,3067,3,2,1,120,128,1998
Abbotsford,2,h,1012500,S,28/5/16,3,3067,2,1,0,182,82,1900
Abbotsford,2,h,1030000,S,30/7/16,3,3067,2,1,1,172,81,1930
Airport West,3,t,840000,PI,3/9/16,14,3042,3,2,1,303,225,2016
Airport West,3,h,730000,VB,3/12/16,14,3042,3,2,1,0,145,1965
Airport West,3,h,770000,SP,4/3/17,14,3042,3,2,1,0,145,1965
Airport West,2,h,603000,S,4/3/17,14,3042,2,1,1,272,84,1950
Airport West,3,t,700000,S,4/3/17,14,3042,3,2,2,239,134,2009
Airport West,3,h,600000,S,4/3/17,14,3042,2,1,1,290,116,1980
Airport West,2,u,500000,VB,4/3/17,14,3042,2,1,1,168,86,2011
Airport West,3,h,720000,S,6/8/16,14,3042,2,1,1,620,,
Airport West,4,h,785000,S,6/8/16,14,3042,3,1,2,597,127,
Airport West,6,h,725000,SP,7/5/16,14,3042,6,3,2,976,186,1980
Airport West,2,t,450000,S,7/5/16,14,3042,2,1,1,110,90,2015
Airport West,2,u,515000,S,7/11/16,14,3042,2,1,1,141,73,2013
Airport West,2,u,530000,S,10/9/16,14,3042,2,1,1,120,94,2012
Airport West,3,h,895000,PI,10/9/16,14,3042,3,1,6,1063,133,1975
Airport West,3,h,805000,S,10/12/16,14,3042,3,1,1,0,105,1950
Airport West,3,u,752000,S,11/2/17,14,3042,3,1,1,265,130,1993
Airport West,2,u,440000,S,13/8/16,14,3042,2,1,1,192,,
Airport West,5,h,755000,PI,14/5/16,14,3042,3,2,2,596,,
Airport West,3,t,700000,PI,15/10/16,14,3042,3,2,2,165,133,2009
Airport West,3,h,830000,S,16/4/16,14,3042,3,1,2,971,113,1960
Airport West,2,u,462500,S,16/7/16,14,3042,2,1,1,164,,2003
Airport West,3,h,670000,SP,16/7/16,14,3042,3,2,2,657,,
Airport West,2,h,675000,S,16/7/16,14,3042,2,1,1,612,100,1975
Airport West,3,h,1042000,S,16/7/16,14,3042,3,2,5,612,174,1950
Airport West,3,h,910000,S,17/9/16,14,3042,3,1,1,775,,
Airport West,4,h,773000,S,17/9/16,14,3042,5,3,4,531,309,1980
Airport West,3,h,810000,PI,18/3/17,14,3042,3,3,2,555,192,1980
Airport West,3,h,715000,S,18/3/17,14,3042,3,2,2,422,126,1995
Airport West,3,h,790000,S,18/3/17,14,3042,3,1,3,614,,
Airport West,3,t,540000,SP,18/6/16,14,3042,2,2,1,161,101,2010
Airport West,3,t,825000,SP,19/11/16,14,3042,3,2,1,293,102,1960
Airport West,3,h,685000,S,22/5/16,14,3042,3,1,1,579,113,1975
Airport West,3,h,805000,S,22/8/16,14,3042,3,1,1,623,,
Airport West,2,u,510000,S,22/8/16,14,3042,2,1,1,141,76,
Airport West,3,h,612000,S,22/8/16,14,3042,3,2,1,212,,
Airport West,3,h,662000,S,23/4/16,14,3042,3,1,2,612,,
Airport West,4,h,978000,S,24/9/16,14,3042,4,3,2,532,,
Airport West,3,h,720000,PI,25/2/17,14,3042,3,1,1,585,,
Airport West,4,h,765000,S,27/11/16,14,3042,4,1,2,509,,
Airport West,4,h,900000,S,27/11/16,14,3042,4,2,3,628,146,1975
Albert Park,2,h,1275000,S,3/9/16,3,3206,2,1,0,120,82,1900
Albert Park,2,h,1455000,S,3/9/16,3,3206,2,1,0,159,,
Albert Park,3,h,2850000,PI,4/3/17,3,3206,3,2,0,211,198,1890
Albert Park,3,h,1850000,S,4/3/17,3,3206,3,2,0,128,133,1890
Albert Park,2,h,1436000,S,4/3/17,3,3206,2,1,0,130,81,1900
