suburb, year, type, median, total
Glen Huntly, 2016, All, 638250, 16175500
Glen Huntly, 2016, Houses, 1160000, 6655000
Glen Huntly, 2016, Units, 600000, 8249000
Glen Huntly, 2016, Others, 635750, 1271500
Glen Huntly, 2017, All, 542500, 14398000
Glen Huntly, 2017, Houses, 1711000, 1711000
Glen Huntly, 2017, Units, 525000, 8637000
Glen Huntly, 2017, Others, 815000, 4050000
Glen Huntly, 2018, All, 740000, 4486000
Glen Huntly, 2018, Houses, 1900000, 1900000
Glen Huntly, 2018, Units, 455500, 911000
Glen Huntly, 2018, Others, 837500, 1675000
South Melbourne, 2016, All, 1200000, 64601000
South Melbourne, 2016, Houses, 1595000, 45984500
South Melbourne, 2016, Units, 606000, 15981500
South Melbourne, 2016, Others, 1317500, 2635000
South Melbourne, 2017, All, 1165500, 106810000
South Melbourne, 2017, Houses, 1312500, 80137000
South Melbourne, 2017, Units, 680000, 19826000
South Melbourne, 2017, Others, 1380000, 6847000
South Melbourne, 2018, All, 1545000, 29683000
South Melbourne, 2018, Houses, 1795000, 25072000
South Melbourne, 2018, Units, 790000, 3561000
South Melbourne, 2018, Others, 1050000, 1050000
Meadow Heights, 2017, All, 473000, 17509500
Meadow Heights, 2017, Houses, 511000, 13207500
Meadow Heights, 2017, Units, 412500, 3186500
Meadow Heights, 2017, Others, 360000, 1115500
Meadow Heights, 2018, All, 490000, 7664000
Meadow Heights, 2018, Houses, 510500, 6794000
Meadow Heights, 2018, Units, 435000, 870000
Tecoma, 2017, All, 855000, 855000
Tecoma, 2017, Houses, 855000, 855000
Sandhurst, 2017, All, 655000, 1310000
Sandhurst, 2017, Houses, 655000, 1310000
Sandhurst, 2018, All, 640000, 640000
Sandhurst, 2018, Houses, 640000, 640000
Kooyong, 2016, All, 1706000, 4811000
Kooyong, 2016, Houses, 1552500, 3105000
Kooyong, 2016, Others, 1706000, 1706000
Kooyong, 2017, All, 820000, 4570000
Kooyong, 2017, Houses, 3080000, 3080000
Kooyong, 2017, Units, 745000, 1490000
Kooyong, 2018, All, 2105000, 4210000
Kooyong, 2018, Houses, 2900000, 2900000
Kooyong, 2018, Units, 1310000, 1310000
Broadmeadows, 2017, All, 568000, 34330000
Broadmeadows, 2017, Houses, 584000, 28767500
Broadmeadows, 2017, Units, 400000, 2882500
Broadmeadows, 2017, Others, 448000, 2680000
Broadmeadows, 2018, All, 562500, 10042000
Broadmeadows, 2018, Houses, 595000, 8712000
Broadmeadows, 2018, Units, 420000, 420000
Broadmeadows, 2018, Others, 455000, 910000
Sandringham, 2017, All, 1650000, 95662500
Sandringham, 2017, Houses, 1750000, 73755000
Sandringham, 2017, Units, 755000, 9241000
Sandringham, 2017, Others, 1191500, 12666500
