suburb,year,type,median,total
Glen Huntly,2016,All,638250,16175500
Glen Huntly,2017,All,542500,14398000
Glen Huntly,2018,All,740000,4486000
South Melbourne,2016,All,1200000,64601000
South Melbourne,2017,All,1165500,106810000
South Melbourne,2018,All,1545000,29683000
Meadow Heights,2017,All,473000,17509500
Meadow Heights,2018,All,490000,7664000
Tecoma,2017,All,855000,855000
Sandhurst,2017,All,655000,1310000
Sandhurst,2018,All,640000,640000
Kooyong,2016,All,1706000,4811000
Kooyong,2017,All,820000,4570000
Kooyong,2018,All,2105000,4210000
Broadmeadows,2017,All,568000,34330000
Broadmeadows,2018,All,562500,10042000
Sandringham,2017,All,1650000,95662500
Sandringham,2018,All,1600000,18187500
Parkville,2016,All,1300000,34081600
Parkville,2017,All,900000,35189000
Parkville,2018,All,1660000,1660000
Strathmore,2016,All,1105000,72466000
Strathmore,2017,All,1200000,83618500
Strathmore,2018,All,1300000,25950000
Burwood,2016,All,1155500,78271900
Burwood,2017,All,1322500,92555266
Burwood,2018,All,1315000,22389000
Hawthorn,2016,All,672500,129533500
Hawthorn,2017,All,840000,204124500
Hawthorn,2018,All,770000,50145000
St Kilda,2016,All,567500,107531000
St Kilda,2017,All,636000,126500800
St Kilda,2018,All,560000,21101250
Hampton East,2016,All,1167500,32670500
Hampton East,2017,All,1132500,56639500
Hampton East,2018,All,1180000,6058000
Ormond,2016,All,1197000,67099000
Ormond,2017,All,1076250,61561000
Ormond,2018,All,936000,12929000
North Melbourne,2016,All,630000,38739689
North Melbourne,2017,All,794500,55590000
North Melbourne,2018,All,845000,11268500
Coburg North,2016,All,780000,35718000
Coburg North,2017,All,800500,48748500
Coburg North,2018,All,850000,13601000
Gardenvale,2016,All,517500,3628000
Gardenvale,2017,All,692000,6589000
Gardenvale,2018,All,883000,883000
Brighton East,2016,All,1550000,183967500
Brighton East,2017,All,1650000,194366800
Brighton East,2018,All,1845000,60145000
Elwood,2016,All,684500,72360999
Elwood,2017,All,725500,107467750
Elwood,2018,All,723000,19548000
Montmorency,2017,All,841000,37385100
Montmorency,2018,All,896000,12680000
Westmeadows,2017,All,613000,22271250
Westmeadows,2018,All,635000,4100000
Hallam,2017,All,645000,6423500
Taylors Hill,2017,All,680000,16804000
Taylors Hill,2018,All,720000,5316000
Wollert,2017,All,572500,20500300
Wollert,2018,All,617500,10186600
Keilor Park,2016,All,587500,8471000
Keilor Park,2017,All,752000,13973000
Keilor Park,2018,All,592500,1185000
Delahey,2017,All,563000,8413500
Delahey,2018,All,607500,2450000
Beaconsfield,2017,All,603500,1207000
Croydon Hills,2017,All,940750,8538250
Croydon Hills,2018,All,990000,4041000
Malvern East,2016,All,1350000,132563500
Malvern East,2017,All,1628750,178304157
Malvern East,2018,All,1637500,50076000
Mill Park,2017,All,665000,73608638
Mill Park,2018,All,690500,29742000
Aspendale Gardens,2017,All,880000,10025500
Aspendale Gardens,2018,All,1000000,4686750
Fitzroy,2016,All,973750,41477500
Fitzroy,2017,All,1235000,81262500
Fitzroy,2018,All,997500,12388000
Melton West,2017,All,425000,10102500
Melton West,2018,All,445500,2748000
Sunshine North,2016,All,620500,36999100
Sunshine North,2017,All,640000,32756500
Sunshine North,2018,All,697000,10722500
Chadstone,2016,All,930000,33111000
Chadstone,2017,All,992500,43466500
Chadstone,2018,All,910000,5785000
Blackburn South,2017,All,1151000,22601500
Blackburn South,2018,All,1050000,17752000
Upwey,2017,All,575000,575000
Upwey,2018,All,1075000,1075000
Keilor Lodge,2017,All,655000,2510000
Keilor Lodge,2018,All,653000,653000
Patterson Lakes,2017,All,670000,2759000
Patterson Lakes,2018,All,791000,1582000
Keilor East,2016,All,740000,60748200
Keilor East,2017,All,870000,95832600
Keilor East,2018,All,790000,20707500
Dandenong,2017,All,560000,21526000
Dandenong,2018,All,611000,4016500
Melton,2017,All,405000,10144500
Melton,2018,All,413000,2893000
Elsternwick,2016,All,1085500,52480000
Elsternwick,2017,All,900000,60725750
Elsternwick,2018,All,1300000,17663000
Albion,2016,All,600000,9311500
Albion,2017,All,653000,26893790
Albion,2018,All,627500,5008000
Kew,2016,All,1546500,232362000
Kew,2017,All,1528500,281876600
Kew,2018,All,1710000,48121000
Bentleigh East,2016,All,1040000,216545676
Bentleigh East,2017,All,1218000,287733500
Bentleigh East,2018,All,1200000,53510000
Fitzroy North,2016,All,1192500,62927500
Fitzroy North,2017,All,1345000,106221750
Fitzroy North,2018,All,1325000,22869000
Beaconsfield Upper,2017,All,719500,1439000
Hoppers Crossing,2017,All,550000,65346450
Hoppers Crossing,2018,All,571000,20037500
Botanic Ridge,2017,All,750000,750000
Ascot Vale,2016,All,952500,86285500
Ascot Vale,2017,All,1100000,124657500
Ascot Vale,2018,All,966500,22082000
Reservoir,2016,All,624250,188022400
Reservoir,2017,All,731000,259392553
Reservoir,2018,All,685000,55018001
Bundoora,2017,All,770000,85563888
Bundoora,2018,All,715000,19812850
West Melbourne,2016,All,800000,15887000
West Melbourne,2017,All,1086500,36678500
West Melbourne,2018,All,1175000,2350000
Mordialloc,2017,All,870000,46710000
Mordialloc,2018,All,962500,7946000
Camberwell,2016,All,1670000,164216900
Camberwell,2017,All,1865000,286906300
Camberwell,2018,All,1855000,69994000
Wheelers Hill,2017,All,1170500,63833083
Wheelers Hill,2018,All,1200000,17123000
North Warrandyte,2017,All,902000,5420000
Sydenham,2017,All,610000,9391500
Sydenham,2018,All,563000,5586500
Bulla,2017,All,665000,665000
Watsonia North,2017,All,765000,13766000
Watsonia North,2018,All,760000,5477000
Mernda,2017,All,602500,31642000
Mernda,2018,All,599000,19561558
Moorabbin,2016,All,942250,50145750
Moorabbin,2017,All,1115500,46535500
Moorabbin,2018,All,982500,13138500
Roxburgh Park,2017,All,543500,30728700
Roxburgh Park,2018,All,588750,9853500
Dallas,2017,All,478944,12967888
Dallas,2018,All,517500,4094000
Deepdene,2017,All,1715000,6390000
Deepdene,2018,All,3080000,7622500
Craigieburn,2017,All,555500,79397300
Craigieburn,2018,All,583000,40065300
Vermont South,2017,All,1250000,33280000
Vermont South,2018,All,1170000,5717000
Waterways,2017,All,1248500,4414000
Mickleham,2017,All,543000,3706000
Mickleham,2018,All,1120000,2240000
Williamstown,2016,All,1200000,73407000
Williamstown,2017,All,1290000,126078000
Williamstown,2018,All,1202500,35654000
Wallan,2017,All,426000,1702000
Wallan,2018,All,565000,4055000
Aspendale,2017,All,1125000,25790000
Aspendale,2018,All,960000,4825000
Hadfield,2016,All,632750,29356574
Hadfield,2017,All,755000,25745388
Hadfield,2018,All,779750,6546500
Balaclava,2016,All,501250,10947000
Balaclava,2017,All,663750,24377000
Balaclava,2018,All,857000,7339500
Rowville,2017,All,902500,22693800
Rowville,2018,All,930000,7851000
Wildwood,2017,All,1030000,1030000
Greenvale,2017,All,732500,38271000
Greenvale,2018,All,690000,18271000
Avondale Heights,2016,All,756000,49065000
Avondale Heights,2017,All,850000,66368000
Avondale Heights,2018,All,792750,10287000
Frankston,2017,All,632000,44046638
Frankston,2018,All,654000,16616777
Carrum Downs,2017,All,552500,10409000
Carrum Downs,2018,All,556250,2253500
East Melbourne,2016,All,1015000,23467000
East Melbourne,2017,All,897500,25312500
East Melbourne,2018,All,700000,700000
Pascoe Vale,2016,All,673750,78131500
Pascoe Vale,2017,All,770000,132006450
Pascoe Vale,2018,All,805000,24166000
Cranbourne West,2017,All,640000,1280000
Cranbourne West,2018,All,523625,1047250
Hampton Park,2017,All,622000,2888000
Yarraville,2016,All,865000,81491644
Yarraville,2017,All,983750,137763600
Yarraville,2018,All,954500,28555999
Lynbrook,2017,All,613750,1227500
MacLeod,2017,All,775000,39168000
MacLeod,2018,All,800000,14021500
Clyde North,2017,All,662000,1324000
Clyde North,2018,All,575000,575000
Notting Hill,2017,All,1075000,9186500
Caulfield South,2016,All,1197500,39443000
Caulfield South,2017,All,1218500,49718000
Caulfield South,2018,All,1510000,15277000
Carnegie,2016,All,820000,87610350
Carnegie,2017,All,803000,109487810
Carnegie,2018,All,885000,12461000
Southbank,2016,All,623000,17906000
Southbank,2017,All,580000,13419500
Southbank,2018,All,722750,7406500
Montrose,2017,All,735000,735000
Malvern,2016,All,1611000,93098000
Malvern,2017,All,1995000,115243000
Malvern,2018,All,2750000,37998000
Melbourne,2016,All,570000,44990000
Melbourne,2017,All,683000,59756000
Melbourne,2018,All,650000,10255500
Sunbury,2017,All,518000,55980500
Sunbury,2018,All,532000,19597000
Black Rock,2017,All,1215000,31382500
Black Rock,2018,All,1572500,10015000
Bullengarook,2017,All,875000,3715000
Bullengarook,2018,All,865000,865000
Niddrie,2016,All,840000,48929500
Niddrie,2017,All,960000,66397500
Niddrie,2018,All,1135000,11770000
Gisborne,2017,All,650000,9930000
Gisborne,2018,All,583000,5714500
Collingwood,2016,All,887500,31143000
Collingwood,2017,All,931000,46283500
Collingwood,2018,All,1079500,7565500
Balwyn,2016,All,1850000,190801500
Balwyn,2017,All,1755000,187798000
Balwyn,2018,All,2020000,45592000
Deer Park,2017,All,610000,19593000
Deer Park,2018,All,580000,5570500
Travancore,2016,All,1178500,6477000
Travancore,2017,All,608000,5612500
Travancore,2018,All,1100000,3522000
Seabrook,2017,All,607500,3699000
Bulleen,2016,All,1105000,66031500
Bulleen,2017,All,1230000,66287400
Bulleen,2018,All,1198000,19869000
Watsonia,2016,All,680500,22353500
Watsonia,2017,All,830000,39702300
Watsonia,2018,All,740500,4451000
Ringwood North,2017,All,947500,20920000
Ringwood North,2018,All,975000,5711888
Altona North,2016,All,709000,46662500
Altona North,2017,All,830000,58265500
Altona North,2018,All,805000,8001000
Templestowe,2017,All,1367500,84246388
Templestowe,2018,All,1475000,22296666
Ashwood,2016,All,1100000,37513800
Ashwood,2017,All,1200000,60851750
Ashwood,2018,All,1350000,14257500
Epping,2017,All,584500,65633450
Epping,2018,All,616000,22117800
Greensborough,2017,All,817250,70327500
Greensborough,2018,All,809000,26130000
Cranbourne,2017,All,563500,6348008
Cranbourne,2018,All,686000,686000
The Basin,2017,All,580600,2338200
Point Cook,2017,All,655000,41670250
Point Cook,2018,All,675000,21661840
Clifton Hill,2016,All,1127500,38507000
Clifton Hill,2017,All,1310000,88587500
Clifton Hill,2018,All,1025000,10811000
Chirnside Park,2017,All,757500,4567982
Chirnside Park,2018,All,830000,2305000
Essendon,2016,All,954000,134002500
Essendon,2017,All,1002000,206389000
Essendon,2018,All,1008750,51258500
Wantirna South,2017,All,1050000,38659000
Wantirna South,2018,All,940000,11007001
Burnley,2016,All,1103750,4319510
Burnley,2017,All,1195000,6588500
Burnley,2018,All,1576500,3153000
Blackburn North,2017,All,1215000,30569000
Blackburn North,2018,All,1010000,12626000
Seddon,2016,All,928750,35706000
Seddon,2017,All,980000,47841500
Seddon,2018,All,1020000,8489500
Scoresby,2017,All,962000,8984800
Scoresby,2018,All,939500,3942000
Heidelberg West,2016,All,628000,27267250
Heidelberg West,2017,All,718500,40226600
Heidelberg West,2018,All,650000,2458000
Williams Landing,2017,All,591000,3121000
Williams Landing,2018,All,630000,1260000
Ferny Creek,2018,All,690000,690000
Thornbury,2016,All,887000,77256750
Thornbury,2017,All,1000000,136069781
Thornbury,2018,All,995000,41856000
Yallambie,2016,All,721000,15691500
Yallambie,2017,All,857000,17535250
Yallambie,2018,All,745000,3712000
Briar Hill,2017,All,780000,15174500
Briar Hill,2018,All,825000,825000
Ashburton,2016,All,1550000,83919000
Ashburton,2017,All,1715000,85212500
Ashburton,2018,All,1850000,11850500
Carlton North,2016,All,1280000,31872000
Carlton North,2017,All,1555000,64653000
Carlton North,2018,All,1065000,12761000
Spotswood,2016,All,863250,16953000
Spotswood,2017,All,978000,24535000
Spotswood,2018,All,1060000,3177000
Heidelberg,2016,All,985000,28849500
Heidelberg,2017,All,870000,40013500
Heidelberg,2018,All,805000,6329000
Richmond,2016,All,1040000,202390750
Richmond,2017,All,1055000,221485700
Richmond,2018,All,1010000,44793150
Vermont,2017,All,1050500,27122500
Vermont,2018,All,907500,7691000
Canterbury,2016,All,1821500,73980000
Canterbury,2017,All,2408000,120311000
Canterbury,2018,All,2402500,8542000
Burnside Heights,2017,All,586500,4882000
Burnside Heights,2018,All,655000,1310000
Cranbourne East,2017,All,440000,440000
Brooklyn,2016,All,495000,6534000
Brooklyn,2017,All,640000,12033099
Brooklyn,2018,All,655000,3180000
Coburg,2016,All,825000,95689500
Coburg,2017,All,970000,153949476
Coburg,2018,All,938000,33073500
Oakleigh East,2017,All,954500,21664500
Oakleigh East,2018,All,1030500,8981000
Heidelberg Heights,2016,All,661250,31113100
Heidelberg Heights,2017,All,757000,54919250
Heidelberg Heights,2018,All,858000,7920500
Glen Iris,2016,All,1600000,208366800
Glen Iris,2017,All,1446000,250337000
Glen Iris,2018,All,1360000,42992000
Blackburn,2017,All,1300000,57900600
Blackburn,2018,All,1475000,23578000
Kingsville,2016,All,816500,20576200
Kingsville,2017,All,922500,26008500
Kingsville,2018,All,1020000,8045000
Clarinda,2017,All,882000,10122300
Clarinda,2018,All,802000,7460500
Doncaster East,2017,All,1327500,131413900
Doncaster East,2018,All,1198000,24483800
Sunshine West,2016,All,540000,37682900
Sunshine West,2017,All,660000,53239900
Sunshine West,2018,All,650000,12622500
Ringwood,2017,All,910000,44732299
Ringwood,2018,All,880000,12024000
Abbotsford,2016,All,985000,43080500
Abbotsford,2017,All,1082500,55895500
Abbotsford,2018,All,1077500,6446000
Kew East,2016,All,1615000,58454000
Kew East,2017,All,1775000,81584000
Kew East,2018,All,1762000,24054000
Pakenham,2017,All,493000,6493000
Pakenham,2018,All,675500,1351000
Maribyrnong,2016,All,730000,67289700
Maribyrnong,2017,All,945000,85256388
Maribyrnong,2018,All,631250,13459500
Caroline Springs,2017,All,585000,13000500
Caroline Springs,2018,All,583750,3592500
Caulfield East,2016,All,1300000,10541000
Caulfield East,2017,All,910000,8084000
Caulfield East,2018,All,1520000,1520000
McKinnon,2017,All,1536500,37971800
McKinnon,2018,All,1730000,7855000
Hawthorn East,2016,All,1450000,109578250
Hawthorn East,2017,All,1145000,140082488
Hawthorn East,2018,All,1410000,28400000
Strathmore Heights,2016,All,800000,7641999
Strathmore Heights,2017,All,800000,2435500
Strathmore Heights,2018,All,1270000,1270000
Albert Park,2016,All,1800000,63969000
Albert Park,2017,All,1960000,108810500
Albert Park,2018,All,1422000,6492000
South Morang,2017,All,621000,44380000
South Morang,2018,All,675000,12328500
Balwyn North,2016,All,1650500,205302300
Balwyn North,2017,All,1750000,270397000
Balwyn North,2018,All,1800000,54775000
Murrumbeena,2016,All,1076000,50081000
Murrumbeena,2017,All,1125000,80718188
Murrumbeena,2018,All,1300000,16696000
Croydon,2017,All,856500,67032600
Croydon,2018,All,810000,18503200
Melton South,2017,All,403500,17870250
Melton South,2018,All,412500,5856500
Knoxfield,2017,All,950000,9178000
Knoxfield,2018,All,830000,5689864
Rosanna,2016,All,890000,50697500
Rosanna,2017,All,1067500,57114000
Rosanna,2018,All,1020500,12496740
Ripponlea,2016,All,632500,6716000
Ripponlea,2017,All,534250,3668500
Ripponlea,2018,All,782000,2482000
Mulgrave,2017,All,914500,64095000
Mulgrave,2018,All,863500,16402896
Warranwood,2017,All,922500,1845000
Warranwood,2018,All,1050000,1050000
Bellfield,2016,All,776500,7657000
Bellfield,2017,All,874500,12042500
Bellfield,2018,All,812500,1625000
Eltham,2017,All,915750,58248200
Eltham,2018,All,1005000,15975700
Aberfeldie,2016,All,1192500,27682000
Aberfeldie,2017,All,1325000,56525500
Aberfeldie,2018,All,1630000,7296000
Albanvale,2017,All,540000,4824500
Croydon South,2017,All,952000,6667000
Croydon South,2018,All,808500,3172000
Langwarrin,2017,All,564750,7117500
Langwarrin,2018,All,570000,1770000
Caulfield,2016,All,1155000,6935500
Caulfield,2017,All,542500,5281000
Dingley Village,2017,All,871000,29452500
Dingley Village,2018,All,877500,10581500
Eumemmerring,2017,All,580000,1798000
Hillside,2017,All,648000,31272700
Hillside,2018,All,666000,13792000
New Gisborne,2017,All,703750,3327500
New Gisborne,2018,All,625000,625000
Kings Park,2017,All,528000,5411000
Kings Park,2018,All,635000,3000000
Kurunjang,2017,All,358500,3563500
Kurunjang,2018,All,439000,1385000
Ringwood East,2017,All,905000,26827888
Ringwood East,2018,All,797500,6244000
Thomastown,2017,All,651000,39804500
Thomastown,2018,All,632000,12450500
Werribee South,2017,All,355000,355000
Werribee South,2018,All,640000,640000
Monbulk,2017,All,720000,720000
